date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:46	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-ade767d8eb9a17c2;gz%22	https://uiparadox.co.uk/robots.txt		(from )
15:40:47	72441/72441	---M-Z	200	added ('OK')	text/html	etag:%2211af9-6968d03d-6040a6a4f4ade71d;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/index.html	(from )
15:40:48	1545/1545	---M--	200	added ('OK')	image/png	etag:%22609-6968d03f-26131b5df7a1c7ec;;;%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/media/favicon.png	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/media/favicon.png	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:48	232115/232115	---M-Z	200	added ('OK')	text/css	etag:%2238ab3-6968d040-a10f1461df9eb1ff;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/css/vendor/bootstrap.min.css	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/css/vendor/bootstrap.min.css	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:49	520515/520515	---M-Z	200	added ('OK')	text/css	etag:%227f143-6968d040-3baebffc213195d3;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/css/vendor/all.min.css	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/css/vendor/all.min.css	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:50	2924/2924	---M-Z	200	added ('OK')	text/css	etag:%22b6c-6968d041-8c871be1881284e5;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/css/vendor/slick.css	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/css/vendor/slick.css	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:50	13938/13938	---M-Z	200	added ('OK')	text/css	etag:%223672-6968d040-4b348d278e572e5a;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/css/vendor/ion.rangeSlider.css	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/css/vendor/ion.rangeSlider.css	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:50	4398/4398	---M-Z	200	added ('OK')	text/css	etag:%22112e-6968d040-a9a3b2b934a76af5;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/css/vendor/nice-select.css	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/css/vendor/nice-select.css	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:51	95755/95755	---M-Z	200	added ('OK')	text/css	etag:%221760b-6968d03e-befb83e87187114f;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/css/app.css	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/css/app.css	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:51	8018/8018	---M--	200	added ('OK')	image/png	etag:%221f52-6968d04e-d1a9ba5f1d080a0d;;;%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/media/icons/loader-plane.png	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/media/icons/loader-plane.png	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:51	72441/72441	---M-Z	200	added ('OK')	text/html	etag:%2211af9-6968d03d-6040a6a4f4ade71d;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/index.html	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/index-2.html	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:51	4909/4909	---M--	200	added ('OK')	image/png	etag:%22132d-6968d03f-a8cbaf3f8f4443be;;;%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/media/logo.png	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/media/logo.png	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:52	4555/4555	---M--	200	added ('OK')	image/png	etag:%2211cb-6968d03f-db370c47e8f56e8a;;;%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/media/logo-dark.png	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/media/logo-dark.png	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:52	40172/40172	---M-Z	200	added ('OK')	text/html	etag:%229cec-6968d03d-3537722e7b62daeb;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/about.html	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/about.html	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:52	44415/44415	---M-Z	200	added ('OK')	text/html	etag:%22ad7f-6968d03c-f101900f9d37be89;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/tour-grid.html	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/tour-grid.html	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:53	45863/45863	---M-Z	200	added ('OK')	text/html	etag:%22b327-6968d03c-e01be6d9a64df5e6;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/tour-grid-left-sidebar.html	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/tour-grid-left-sidebar.html	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:53	45807/45807	---M-Z	200	added ('OK')	text/html	etag:%22b2ef-6968d03c-1fc21d40b32dd4d2;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/tour-grid-right-sidebar.html	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/tour-grid-right-sidebar.html	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:53	30842/30842	---M-Z	200	added ('OK')	text/html	etag:%22787a-6968d03c-e13c74d71e36f56a;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/tour-detail.html	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/tour-detail.html	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:54	37308/37308	---M-Z	200	added ('OK')	text/html	etag:%2291bc-6968d03c-61c599b1a0bf42f3;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/tour-detail-sidebar.html	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/tour-detail-sidebar.html	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:54	38985/38985	---M-Z	200	added ('OK')	text/html	etag:%229849-6968d03d-d6ddc220a67dffa1;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/blog-grid.html	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/blog-grid.html	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:55	33309/33309	---M-Z	200	added ('OK')	text/html	etag:%22821d-6968d03d-c1b637931b6ff210;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/tour-booking.html	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/tour-booking.html	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:56	42805/42805	---M-Z	200	added ('OK')	text/html	etag:%22a735-6968d03d-812ad385975c23e2;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/blog-grid-left-sidebar.html	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/blog-grid-left-sidebar.html	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:57	35486/35486	---M-Z	200	added ('OK')	text/html	etag:%228a9e-6968d03d-3c6617a7e3637230;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/blog-detail.html	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/blog-detail.html	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:57	42805/42805	---M-Z	200	added ('OK')	text/html	etag:%22a735-6968d03d-a003b727e2c2d524;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/blog-grid-right-sidebar.html	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/blog-grid-right-sidebar.html	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:57	40821/40821	---M-Z	200	added ('OK')	text/html	etag:%229f75-6968d03d-ff486c5e83cd9239;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/account.html	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/account.html	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:40:57	28178/28178	---M-Z	200	added ('OK')	text/html	etag:%226e12-6968d110-a81100337bc302f1;gz%22	https://uiparadox.co.uk/templates/globe-trekk/v3/contact-us.html	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/contact-us.html	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:41:00	107598/107598	---M--	200	added ('OK')	image/png	etag:%221a44e-6968d04b-35d4f7766d47dad1;;;%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/media/banner/mobilemask.png	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/media/banner/mobilemask.png	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:41:02	278714/278714	---M--	200	added ('OK')	image/png	etag:%22440ba-6968d04b-3ab7938a9bea5d8f;;;%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/media/banner/tabmask.png	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/media/banner/tabmask.png	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:41:02	71694/71694	---M--	200	added ('OK')	image/png	etag:%221180e-6968d04a-5872a446c02ccf4;;;%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/media/about/about-img-2.png	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/media/about/about-img-2.png	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:41:02	63658/63658	---M--	200	added ('OK')	image/png	etag:%22f8aa-6968d049-f36dbfee0628be17;;;%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/media/about/about-img-1.png	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/media/about/about-img-1.png	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:41:02	83331/83331	---M--	200	added ('OK')	image/png	etag:%2214583-6968d04a-66d6111d1b96f29c;;;%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/media/about/about-img-3.png	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/media/about/about-img-3.png	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:41:03	74194/74194	---M--	200	added ('OK')	image/png	etag:%22121d2-6968d04a-aedf28a8f587bbef;;;%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/media/about/about-img-4.png	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/media/about/about-img-4.png	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:41:03	102453/102453	---M--	200	added ('OK')	image/png	etag:%2219035-6968d050-a3b69b612b5022c;;;%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/media/tour/tour_1.png	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/media/tour/tour_1.png	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:41:04	121858/121858	---M--	200	added ('OK')	image/png	etag:%221dc02-6968d050-c6f84ea2e38c4205;;;%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/media/tour/tour_2.png	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/media/tour/tour_2.png	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:41:04	142122/142122	---M--	200	added ('OK')	image/png	etag:%2222b2a-6968d050-d66ec0e6e43c141;;;%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/media/tour/tour_4.png	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/media/tour/tour_4.png	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:41:05	306076/306076	---M--	200	added ('OK')	image/png	etag:%224ab9c-6968d04b-ae6c1bc3b90d4bf1;;;%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/media/banner/mask-layer.png	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/media/banner/mask-layer.png	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
15:41:05	184500/184500	---M--	200	added ('OK')	image/png	etag:%222d0b4-6968d050-4a15b10db31a95be;;;%22	https://uiparadox.co.uk/templates/globe-trekk/v3/assets/media/tour/tour_3.png	C:/Users/super/OneDrive/Escritorio/panaroots/uiparadox.co.uk/templates/globe-trekk/v3/assets/media/tour/tour_3.png	(from https://uiparadox.co.uk/templates/globe-trekk/v3/)
